source,Authors,Cantidad
ACM,"Gendreau Chakarov, Alexandra and Recker, Mimi and Jacobs, Jennifer and Van Horne, Katie and Sumner, Tamara",1
ACM,"George-Reyes, Carlos Enrique and Rocha Estrada, Francisco Javier and Glasserman-Morales, Leonardo David",1
ACM,"Gerini, Lorenzo and Delzanno, Giorgio and Guerrini, Giovanna and Solari, Fabio and Chessa, Manuela",1
ACM,"Ghosh, Ahana and Malva, Liina and Singla, Adish",1
ACM,"Gonz\'{a}lez, Yen Air Caballero and Mu\~{n}oz-Repiso, Ana Garc\'{\i}a-Valc\'{a}rcel",2
ACM,"Gonz\'{a}lez-Gonz\'{a}lez, Carina S. and C\'{a}ceres-Garc\'{\i}a, Lorena and Violant-Holz, Ver\'{o}nica",1
ACM,"Gonz\'{a}lez-Gonz\'{a}lez, Carina and Gonz\'{a}lez, Erika Herrera and Ruiz, Lorenzo Moreno and Infante-Moro, Alfonso and Guzm\'{a}n-Franco, Mar\'{\i}a D.",1
ACM,"Good, Jon",1
ACM,"Gouws, Lindsey Ann and Bradshaw, Karen and Wentworth, Peter",1
ACM,"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van Veen, Klaas and Stoker, Idzard",2
ACM,"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van de Grift, Wim and Stoker, Idzard",1
ACM,"Grgurina, Nata\v{s}a and Barendsen, Erik and van Veen, Klaas and Suhre, Cor and Zwaneveld, Bert",1
ACM,"Grizioti, Marianthi and Kynigos, Chronis",1
ACM,"Grizioti, Marianthi and Kynigos, Chronis and Nikolaou, Maria-Stella",1
ACM,"Grover, Shuchi",1
ACM,"Grover, Shuchi and Bienkowski, Marie and Snow, Eric",1
ACM,"Grover, Shuchi and Dominguez, Ximena and Kamdar, Danae and Vahey, Phil and Moorthy, Savitha and Rafanan, Ken and Gracely, Sara",1
ACM,"Grover, Shuchi and Fisler, Kathryn and Lee, Irene and Yadav, Aman",1
ACM,"Guenaga, Mariluz and Menchaca, Iratxe and Garaizar, Pablo and Egu\'{\i}luz, Andoni",1
ACM,"Guzdial, Mark and Kay, Alan and Norris, Cathie and Soloway, Elliot",1
ACM,"Hadad, Roxana and Hausman Jacobson, C. Meghan and Thomas, Kate and Sol\'{o}rzano, Germania and Kachovska, Mila and Yin, Yue",1
ACM,"Hammond, Thomas C. and Oltman, Julia and Manfra, Meghan M.",1
ACM,"Harrison, W. Scott and Hanebutte, Nadine",1
ACM,"Hawthorne, Elizabeth",1
ACM,"Heintz, Fredrik and Mannila, Linda",2
ACM,"Henao, Cristhiam and Naranjo, Juan Sebasti\'{a}n and Cano, Sandra and Pe\~{n}e\~{n}ory, Victor M.",1
ACM,"Herrero-\'{A}lvarez, Rafael",1
ACM,"Hiley, Katherine and Cebolla, Hannah and Elshehaly, Mai",1
ACM,"Hill, Charlotte",1
ACM,"Hodhod, Rania and Khan, Shamim and Kurt-Peker, Yesem and Ray, Lydia",1
ACM,"Hoover, Amy K. and Barnes, Jackie and Fatehi, Borna and Moreno-Le\'{o}n, Jes\'{u}s and Puttick, Gillian and Tucker-Raymond, Eli and Harteveld, Casper",1
ACM,"Horn, Michael and Zaman, Bieke",1
ACM,"Hoskey, Arthur and Zhang, Sen",1
ACM,"Howell, Linda and Jamba, Lisa and Kimball, A. Samuel and Sanchez-Ruiz, Arturo",1
ACM,"Hu, Chenglie",1
ACM,"Hu, Chiu-Fan and Wu, Cheng-Chih",1
ACM,"Huang, Wendy and Chan, Shiau Wei and Looi, Chee Kit",1
ACM,"Imberman, Susan P. and Sturm, Deborah and Azhar, Mohammad Q.",1
ACM,"India, Gesu and Ramakrishna, Geetha and Bisht, Jyoti and Swaminathan, Manohar",1
ACM,"Israel, Maya and Liu, Ruohan and Yan, Wei and Sherwood, Heather and Martin, Wendy and Fancsali, Cheri and Rivera-Cash, Edgar and Adair, Alexandra",1
ACM,"Iversen, Ole Sejer and Smith, Rachel Charlotte and Dindler, Christian",1
ACM,"J\""{o}rg, Sophie and Leonard, Alison E. and Babu, Sabarish and Gundersen, Kara and Parmar, Dhaval and Boggs, Kevin and Daily, Shaundra Bryant",1
ACM,"Jacob, Sharin Rawhiya and Parker, Miranda C. and Warschauer, Mark",1
ACM,"Jamieson, Alan C. and Jamieson, Lindsay H.",1
ACM,"Jeon, Inseong and Song, Ki-Sang",1
ACM,"Jiang, Shan and Wong, Gary K.W.",1
ACM,"Jimenez, Yerika and Hays, Theodore and Gardner-McCune, Christina",1
ACM,"Jordan, Michael I.",2
ACM,"Jordan-Douglass, Anna and Kumar, Vishesh and Woods, Peter J.",1
ACM,"Jormanainen, Ilkka and Tukiainen, Markku",1
ACM,"Jos\'{e} Garc\'{\i}a-Pe\~{n}alvo, Francisco and Conde, Miguel \'{A}ngel and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",1
ACM,"Joseph Agbo, Friday and Sunday Oyelere, Solomon and Suhonen, Jarkko and Tukiainen, Markku",1
ACM,"Kafai, Yasmin B.",1
ACM,"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",2
ACM,"Kalliopi, Kanaki and Michail, Kalogiannakis",1
ACM,"Kastelein, Kate and Dawson, Kelsie and Tate, Rhonda",1
ACM,"Killen, Heather and Coenraad, Merijke and Byrne, Virginia and Cabrera, Lautaro and Mills, Kelly and Ketelhut, Diane Jass and Plane, Jandelyn D.",1
ACM,"Kim, Han Sung and Kim, Soohwan and Na, Wooyoul and Lee, Woon Jee",1
ACM,"Kirkpatrick, Keith",1
ACM,"Klopfenstein, Lorenz Cuno and Delpriori, Saverio and Maldini, Riccardo and Bogliolo, Alessandro",1
ACM,"Koh, Kyu Han and Nickerson, Hilarie and Basawapatna, Ashok and Repenning, Alexander",1
ACM,"Kong, Siu-Cheung and Lao, Andrew Chan-Chio",1
ACM,"Koning, Josina I. and Faber, Hylke H. and Wierdsma, Menno D. M.",1
ACM,"Kules, Bill",1
ACM,"Kunz, Katrin and Moeller, Korbinian and Ninaus, Manuel and Trautwein, Ulrich and Tsarava, Katerina",1
ACM,"Kutay, Emine and Oner, Diler",1
ACM,"L\'{o}pez, Arturo Rojas and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",1
ACM,"Labusch, Amelie",1
ACM,"Lai, Rina P. Y.",1
ACM,"Lai, Rina P.Y.",1
ACM,"Lall\'{e}, S\'{e}bastien and Yal\c{c}\i{}n, \""{O}zge Nilay and Conati, Cristina",1
ACM,"Lamprou, Anna and Repenning, Alexander",1
ACM,"Lang, Catherine",1
ACM,"LeBlanc, Mark D.",1
ACM,"Lee, Dongeun and Hu, Kaoning and El Ariss, Omar and Kwon, Kibum",1
ACM,"Lee, Irene and Martin, Fred and Apone, Katie",1
ACM,"Lee, Irene and Martin, Fred and Denner, Jill and Coulter, Bob and Allan, Walter and Erickson, Jeri and Malyn-Smith, Joyce and Werner, Linda",1
ACM,"Leela, Soralak and Chookeaw, Sasithorn and Nilsook, Prachyanun",1
ACM,"Lehtim\""{a}ki, Taina and Hamm, James and Mooney, Aidan and Casey, Kevin and Monahan, Rosemary and Naughton, Thomas J.",1
ACM,"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",3
ACM,"Levitt, Diane and Garfus-Knowles, Dylana and Khuu, Wyman and Siddappa, Sara",1
ACM,"Li, Jiang and Shockey, Paulette and Cuddapah, Jennifer and Graybeal, Christy and Torres-Crespo, Marisel and Williams, Anthony",1
ACM,"Li, Wei-Lin and Hu, Chiu-Fan and Wu, Cheng-Chih",1
ACM,"Li, Xin-Zhu and Chen, Chun-Ching and Kang, Xin",1
ACM,"Li, Xin-Zhu and Kang, Xin",1
ACM,"Li, Xing and Xiang, Hui and Zhou, Xiaochun and Jing, Huang",1
ACM,"Li, Xing and Zhang, Yi and Huang, Jing",1
ACM,"Li, Xing and Zhao, MingYue and Ai, Di and Zhou, XiaoChun and Xiang, Hui",1
ACM,"Liao, Chen-Huei and Hsu, Hui-Ju and Wu, Pei-Chen",1
ACM,"Lin, Lorraine and Parmar, Dhaval and Babu, Sabarish V. and Leonard, Alison E. and Daily, Shaundra B. and J\""{o}rg, Sophie",1
ACM,"Liu, Hui and Li, Zhen and Duan, Jia Ting and Zeng, Yu",1
ACM,"Liu, Ruohan and Luo, Feiya and Israel, Maya",1
ACM,"Liu, Xiaoying and Cong, Longjie and Xu, Jihong",1
ACM,"Liu, Yaqin and Ma, Zhiqiang and Qian, Yizhou",1
ACM,"Liu, Yu-Yu and Iversen, Ole Sejer",1
ACM,"Lodi, Michael",1
ACM,"Lonati, Violetta and Monga, Mattia and Malchiodi, Dario and Morpurgo, Anna",1
ACM,"Lowe, Tony and Brophy, Sean and Cardella, Monica",1
ACM,"Lu, James J. and Fletcher, George H.L.",2
ACM,"Lunding, Mille Skovhus and Gr\o{}nb\ae{}k, Jens Emil Sloth and Bilstrup, Karl-Emil Kj\ae{}r and S\o{}rensen, Marie-Louise Stisen Kjerstein and Petersen, Marianne Graves",1
ACM,"Luo, Feiya and Israel, Maya and Gane, Brian",1
ACM,"Luo, Feiya and Israel, Maya and Liu, Ruohan and Yan, Wei and Gane, Brian and Hampton, John",1
ACM,"Luo, Feiya and Yan, Wei and Liu, Ruohan and Israel, Maya",1
ACM,"Magda, David and Gardner-McCune, Christina and Jimenez, Yerika and Chu, Sharon and Kulkarni, Abhishek",1
ACM,"Magdy, Amr and Dony, Coline",1
ACM,"Maiorana, Francesco",1
ACM,"Maitz, Katharina and Paleczek, Lisa and Danielowitz, Claudia",1
ACM,"Mannila, Linda and Skog, Mia",1
ACM,"Maraza Quispe, Benjamin and Alejandro Oviedo, Olga Melina and Choquehuanca Quispe, Walter and Quispe Flores, Lita Marianela and Caytuiro Silva, Nicolas Esleyder and Choquehuayta Palomino, Sim\'{o}n Angel",1
ACM,"Martin, Fred and Lee, Irene and Lytle, Nicholas and Sentance, Sue and Lao, Natalie",1
ACM,"Masiulionyte-Dagiene, Vaida",1
ACM,"Mason, Dave and Khan, Irfan and Farafontov, Vadim",1
ACM,"Masood, Mehreen and Khawaja, Mujtaba Ahmed and Sharif, Muhammad Shehryaar and Iqbal, Omer and Mehmood Butt, Momin and Shahid, Suleman",1
ACM,"McCall, Lauren and Allen, Brittney and Freeman, Jason and Garrett, Stephen and Grossman, Sabrina and Paz, Jed and Edwards, Doug and McKlin, Tom and Lee, Taneisha",1
ACM,"Meerbaum-Salant, Orni and Haberman, Bruria and Pollack, Sarah",1
ACM,"Meyer-Baron, Larissa and Stieger, Ramona and Waldvogel, Bettina and Schumann, Nicole and Ruedisueli, Cornelia and Mayr, Franziska",1
ACM,"Meza, Federico and V\'{a}squez, Andrea and San Mart\'{\i}n, Daniel",1
ACM,"Mike, Koby and Ragonis, Noa and Rosenberg-Kima, Rinat B. and Hazzan, Orit",1
ACM,"Mills, Kelly and Angevine, Colin and Weisgrau, Josh",1
ACM,"Montero, Calkin Suero",2
ACM,"Moreira Oliveira, Carolina",1
ACM,"Moreno-Le\'{o}n, Jes\'{u}s and Rom\'{a}n-Gonz\'{a}lez, Marcos and Harteveld, Casper and Robles, Gregorio",1
ACM,"Moreno-Le\'{o}n, Jesus and Vasco-Gonz\'{a}lez, Margarita and Rom\'{a}n-Gonz\'{a}lez, Marcos and Robles, Gregorio",1
ACM,"Morrison, Briana B. and Dorn, Brian and Friend, Michelle",1
ACM,"Moudgalya, Sukanya Kannan and Yadav, Aman and Sands, Philip and Vogel, Sara and Zamansky, Mike",1
ACM,"Munasinghe, Bhagya and Bell, Tim and Robins, Anthony",2
ACM,"Musabirov, Ilya and Suschevskiy, Vsevolod",1
ACM,"Musaeus, Line Have",1
ACM,"Musaeus, Line Have and Musaeus, Peter",1
ACM,"Musaeus, Line Have and Petersen, Marianne Graves and Klokmose, Clemens Nylandsted and Iversen, Ole Sejer",1
ACM,"Musaeus, Line Have and S\o{}rensen, Marie-Louise Stisen Kjerstein and Palfi, Blanka S\'{a}ra and Iversen, Ole Sejer and Klokmose, Clemens Nylandsted and Petersen, Marianne Graves",1
ACM,"Nardelli, Enrico",1
ACM,"Nickerson, Hilarie and Brand, Catharine and Repenning, Alexander",1
ACM,"Nicolajsen, Sebastian Mateos and Pischetola, Magda and Grabarczyk, Pawel and Brabrand, Claus",1
